datetime,open,high,low,close,trend_identified,event
2025-04-02 15:34:29,564.34,564.36,564.32,564.32,1.0,
2025-04-02 15:34:30,564.33,564.36,564.3162,564.3599,1.0,
2025-04-02 15:34:31,564.34,564.34,564.31,564.33,1.0,
2025-04-02 15:34:32,564.34,564.38,564.34,564.38,1.0,
2025-04-02 15:34:33,564.38,564.38,564.37,564.37,1.0,
2025-04-02 15:34:34,564.37,564.38,564.36,564.365,1.0,
2025-04-02 15:34:35,564.365,564.39,564.36,564.3899,1.0,
2025-04-02 15:34:36,564.38,564.3899,564.34,564.36,1.0,
2025-04-02 15:34:37,564.34,564.382446,564.33,564.36,1.0,
2025-04-02 15:34:38,564.355,564.37,564.3501,564.355,1.0,
2025-04-02 15:34:39,564.3551,564.36,564.34,564.36,1.0,
2025-04-02 15:34:40,564.36,564.375,564.355,564.37,1.0,
2025-04-02 15:34:41,564.36,564.38,564.32,564.36,1.0,
2025-04-02 15:34:42,564.37,564.38,564.3402,564.3599,1.0,
2025-04-02 15:34:43,564.3598,564.363,564.344,564.36,1.0,
2025-04-02 15:34:44,564.342,564.36,564.34,564.36,1.0,
2025-04-02 15:34:45,564.35,564.4,563.4937,564.4,1.0,
2025-04-02 15:34:46,564.4,564.4,564.39,564.39,1.0,
2025-04-02 15:34:47,564.401,564.401,564.36,564.37,1.0,
2025-04-02 15:34:48,564.36,564.3649,563.3075,563.3075,1.0,
2025-04-02 15:34:49,564.35,564.36,564.29,564.325,,
2025-04-02 15:34:50,564.325,564.33,564.29,564.3,1.0,
2025-04-02 15:34:51,564.29,564.3,564.2812,564.29,1.0,
2025-04-02 15:34:52,564.31,564.31,564.3001,564.3001,1.0,
2025-04-02 15:34:53,564.3,564.31,564.29,564.31,1.0,
2025-04-02 15:34:54,564.29,564.295,564.21,564.215,1.0,
2025-04-02 15:34:55,564.22,564.28,563.5105,564.2702,1.0,
2025-04-02 15:34:56,564.27,564.2799,564.23,564.23,1.0,
2025-04-02 15:34:57,564.23,564.2412,563.5128,564.2001,1.0,
2025-04-02 15:34:58,564.21,564.21,564.16,564.16,1.0,
2025-04-02 15:34:59,564.1585,564.18,563.5177,564.14,1.0,
2025-04-02 15:35:00,564.1398,564.14,564.1201,564.1201,1.0,
2025-04-02 15:35:01,564.13,564.179,564.12,564.12,1.0,
2025-04-02 15:35:02,564.13,564.14,563.3273,564.02,1.0,
2025-04-02 15:35:03,564.03,564.03,564.005,564.0101,1.0,
2025-04-02 15:35:04,564.02,564.2399,563.95,563.9699,1.0,
2025-04-02 15:35:05,563.95,563.9607,563.92,563.92,1.0,
2025-04-02 15:35:06,563.93,563.93,563.89,563.89,1.0,
2025-04-02 15:35:07,563.89,563.906206,563.6086,563.87,1.0,
2025-04-02 15:35:08,563.86,563.8699,563.83,563.8499,1.0,
2025-04-02 15:35:09,563.84,563.9,563.6129,563.6129,1.0,
2025-04-02 15:35:10,563.91,564.1069,563.9002,563.918,1.0,
2025-04-02 15:35:11,563.92,563.92,563.89,563.91,1.0,
2025-04-02 15:35:12,563.9,563.94,563.9,563.92,1.0,
2025-04-02 15:35:13,563.94,564.0,563.91,563.925,1.0,
2025-04-02 15:35:14,563.925,563.95,563.925,563.95,1.0,
2025-04-02 15:35:15,563.975,563.975,563.955,563.955,1.0,
2025-04-02 15:35:16,563.955,563.955,563.8747,563.8747,1.0,
2025-04-02 15:35:17,563.91,563.92,563.91,563.92,1.0,
2025-04-02 15:35:18,563.92,563.92,563.78,563.789,1.0,
2025-04-02 15:35:19,563.795,563.795,563.73,563.7498,1.0,
2025-04-02 15:35:20,563.775,563.85,563.77,563.8425,1.0,
2025-04-02 15:35:21,563.83,563.87,563.8202,563.87,1.0,
2025-04-02 15:35:22,563.85,563.88,563.8399,563.88,1.0,
2025-04-02 15:35:23,563.7009,563.91,563.7009,563.8201,1.0,
2025-04-02 15:35:24,563.83,563.85,563.83,563.84,1.0,
2025-04-02 15:35:25,563.84,563.84,563.8123,563.8123,1.0,
2025-04-02 15:35:26,563.81,563.8499,563.81,563.84,1.0,
2025-04-02 15:35:27,563.84,563.84,563.83,563.83,1.0,
2025-04-02 15:35:28,563.82,563.85,563.79,563.85,1.0,
2025-04-02 15:35:29,563.84,563.91,563.3769,563.855,1.0,
2025-04-02 15:35:30,563.85,563.88,563.85,563.88,1.0,
2025-04-02 15:35:31,563.8847,563.8897,563.8601,563.8792,1.0,
2025-04-02 15:35:32,563.86,563.9,563.7557,563.9,1.0,
2025-04-02 15:35:33,563.881,564.107745,563.8801,563.898,1.0,
2025-04-02 15:35:34,563.901,563.901,563.88,563.88,1.0,
2025-04-02 15:35:35,563.92,563.975,563.8665,563.8665,1.0,
2025-04-02 15:35:36,563.9352,563.96,563.88,563.96,1.0,
2025-04-02 15:35:37,563.95,563.955,563.9,563.9202,1.0,
2025-04-02 15:35:38,563.92,563.92,563.91,563.91,1.0,
2025-04-02 15:35:39,563.8988,563.91,563.89,563.91,1.0,
2025-04-02 15:35:40,563.9,563.9399,563.9,563.925,1.0,
2025-04-02 15:35:41,563.93,563.9371,563.91,563.92,1.0,
2025-04-02 15:35:42,563.96,564.0,563.95,563.99,1.0,
2025-04-02 15:35:43,564.0,564.08,563.99,564.02,1.0,
2025-04-02 15:35:44,564.03,564.12,564.02,564.12,1.0,
2025-04-02 15:35:45,564.1252,564.1252,563.8772,564.11,1.0,
2025-04-02 15:35:46,564.12,564.18,564.12,564.18,1.0,
2025-04-02 15:35:47,564.19,564.214,564.18,564.21,1.0,
2025-04-02 15:35:48,564.215,564.22,564.17,564.17,1.0,
2025-04-02 15:35:49,564.1701,564.1888,564.13,564.14,1.0,
2025-04-02 15:35:50,564.1697,564.1697,564.14,564.1575,1.0,
2025-04-02 15:35:51,564.17,564.1791,564.093,564.1791,1.0,
2025-04-02 15:35:52,564.17,564.1799,564.16,564.17,1.0,
2025-04-02 15:35:53,564.17,564.205,563.4155,564.205,1.0,
2025-04-02 15:35:54,564.2195,564.2299,564.2195,564.2299,1.0,
2025-04-02 15:35:55,564.22,564.23,564.18,564.19,1.0,
2025-04-02 15:35:56,564.19,564.26,564.19,564.255,1.0,
2025-04-02 15:35:57,564.26,564.32,564.26,564.3,1.0,
2025-04-02 15:35:58,564.3081,564.31,564.28,564.2801,1.0,
2025-04-02 15:35:59,564.2801,564.35,564.0293,564.33,1.0,
2025-04-02 15:36:00,564.34,564.3591,564.33,564.33,1.0,
2025-04-02 15:36:01,564.34,564.36,564.34,564.36,1.0,
2025-04-02 15:36:02,564.355,564.355,564.31,564.33,1.0,
2025-04-02 15:36:03,564.3499,564.3499,564.305,564.3088,1.0,
2025-04-02 15:36:04,564.34,564.36,563.4436,564.305,1.0,
2025-04-02 15:36:05,564.31,564.32,564.29,564.29,1.0,
2025-04-02 15:36:06,564.29,564.33,563.8382,564.3093,1.0,
2025-04-02 15:36:07,564.33,564.33,564.3,564.3,1.0,
2025-04-02 15:36:08,564.3,564.31,564.28,564.295,1.0,
2025-04-02 15:36:09,564.271,564.2892,564.265,564.2704,1.0,
2025-04-02 15:36:10,564.2893,564.2893,564.25,564.2548,1.0,
2025-04-02 15:36:11,564.27,564.28,564.23,564.275,1.0,
2025-04-02 15:36:12,564.22,564.2785,564.22,564.24,1.0,
2025-04-02 15:36:13,564.24,564.26,564.22,564.22,1.0,
2025-04-02 15:36:14,564.2187,564.25,563.4684,564.24,1.0,
2025-04-02 15:36:15,564.26,564.2986,564.26,564.2951,1.0,
2025-04-02 15:36:16,564.291,564.291,564.28,564.28,1.0,
2025-04-02 15:36:17,564.26,564.26,564.24,564.25,1.0,
2025-04-02 15:36:18,564.2621,564.27,564.26,564.26,1.0,
2025-04-02 15:36:19,564.25,564.26,564.2486,564.2486,1.0,
2025-04-02 15:36:20,564.24,564.26,564.23,564.23,1.0,
2025-04-02 15:36:21,564.26,564.26,564.15,564.15,1.0,
2025-04-02 15:36:22,564.14,564.145,564.09,564.14,1.0,
2025-04-02 15:36:23,564.149,564.2523,564.14,564.15,1.0,
2025-04-02 15:36:24,564.15,564.18,564.100524,564.1799,1.0,
2025-04-02 15:36:25,564.16,564.171,564.16,564.171,1.0,
2025-04-02 15:36:26,564.17,564.185,564.12,564.145,1.0,
2025-04-02 15:36:27,564.13,564.15,564.13,564.15,1.0,
2025-04-02 15:36:28,564.149,564.19,564.149,564.17,1.0,
2025-04-02 15:36:29,564.1276,564.19,564.1276,564.18,1.0,
2025-04-02 15:36:30,564.2,564.2,564.15,564.1651,1.0,
2025-04-02 15:36:31,564.15,564.24,564.14,564.225,1.0,
2025-04-02 15:36:32,564.23,564.27,564.215,564.27,1.0,
2025-04-02 15:36:33,564.28,564.28,564.24,564.25,1.0,
2025-04-02 15:36:34,564.28,564.33,564.28,564.33,1.0,
2025-04-02 15:36:35,564.3,564.3053,563.9066,564.2996,1.0,
2025-04-02 15:36:36,564.295,564.329,564.28,564.31,1.0,
2025-04-02 15:36:37,564.295,564.32,564.198375,564.3191,1.0,
2025-04-02 15:36:38,564.33,564.33,564.31,564.31,1.0,
2025-04-02 15:36:39,564.32,564.35,564.3001,564.34,1.0,
2025-04-02 15:36:40,564.35,564.38,564.35,564.38,1.0,
2025-04-02 15:36:41,564.37,564.38,564.35,564.369,1.0,
2025-04-02 15:36:42,564.375,564.38,564.36,564.38,1.0,
2025-04-02 15:36:43,564.38,564.38,564.32,564.3374,1.0,
2025-04-02 15:36:44,564.34,564.3597,564.31,564.31,1.0,
2025-04-02 15:36:45,564.31,564.3288,564.285,564.285,1.0,
2025-04-02 15:36:46,564.285,564.31,564.2699,564.28,1.0,
2025-04-02 15:36:47,564.27,564.28,564.2618,564.28,1.0,
2025-04-02 15:36:48,564.28,564.285,564.27,564.285,1.0,
2025-04-02 15:36:49,564.27,564.2988,564.27,564.275,1.0,
2025-04-02 15:36:50,564.26,564.27,564.26,564.27,1.0,
2025-04-02 15:36:51,564.31,564.33,564.29,564.2951,1.0,
2025-04-02 15:36:52,564.2911,564.31,564.2911,564.31,1.0,
2025-04-02 15:36:53,564.315,564.3151,564.31,564.31,1.0,
2025-04-02 15:36:54,564.3091,564.37,564.3091,564.3401,1.0,
2025-04-02 15:36:55,564.3151,564.37,564.3151,564.37,1.0,
2025-04-02 15:36:56,564.38,564.44,564.37,564.41,1.0,
2025-04-02 15:36:57,564.41,564.41,564.38,564.3918,1.0,
2025-04-02 15:36:58,564.3975,564.4,564.2938,564.2938,1.0,
2025-04-02 15:36:59,564.4,564.425,564.39,564.42,1.0,
2025-04-02 15:37:00,564.39,564.41,563.5268,564.4097,1.0,
2025-04-02 15:37:01,564.399,564.4,564.3774,564.385,1.0,
2025-04-02 15:37:02,564.38,564.38,564.3687,564.3798,1.0,
2025-04-02 15:37:03,564.37,564.41,564.37,564.39,1.0,
2025-04-02 15:37:04,564.39,564.3999,564.3687,564.38,1.0,
2025-04-02 15:37:05,564.3785,564.379,564.36,564.379,1.0,
2025-04-02 15:37:06,563.9688,564.37,563.9688,564.36,1.0,
2025-04-02 15:37:07,564.37,564.4151,564.37,564.4151,1.0,
2025-04-02 15:37:08,564.43,564.45,563.9554,564.44,1.0,
2025-04-02 15:37:09,564.4399,564.48,564.4301,564.445,1.0,
2025-04-02 15:37:10,564.45,564.4703,564.44,564.4703,1.0,
2025-04-02 15:37:11,564.465,564.47,564.45,564.46,1.0,
2025-04-02 15:37:12,564.44,564.45,564.42,564.42,1.0,
2025-04-02 15:37:13,564.4052,564.4052,564.38,564.395,1.0,
2025-04-02 15:37:14,564.3829,564.45,564.3829,564.422,1.0,
2025-04-02 15:37:15,564.417,564.42,564.3947,564.4097,1.0,
2025-04-02 15:37:16,564.44,564.45,564.43,564.4407,1.0,
2025-04-02 15:37:17,564.445,564.445,564.44,564.44,1.0,
2025-04-02 15:37:18,564.44,564.47,564.44,564.44,1.0,
2025-04-02 15:37:19,564.45,564.46,564.43,564.44,1.0,
2025-04-02 15:37:20,564.43,564.44,564.0425,564.4212,1.0,
2025-04-02 15:37:21,564.4586,564.46,564.4438,564.46,1.0,
2025-04-02 15:37:22,564.459,564.49,564.4296,564.49,1.0,
2025-04-02 15:37:23,564.48,564.49,564.45,564.45,1.0,
2025-04-02 15:37:24,564.445,564.48,564.445,564.48,1.0,
